3.19,77|77|47085|7459|7277|3573|5339|7676|8840|2440|0|0
3.29,77|77|47085|7459|7277|3573|5339|7676|8840|2440|0|0
3.39,77|77|47085|7459|7277|3573|5339|7676|8840|2440|0|0
3.50,77|77|47085|7459|7277|3573|5339|7676|8840|2440|0|0
3.60,77|77|47085|7459|7277|3573|5339|7676|8840|2440|0|0
3.70,64|51|21557|16644|938|723|698|2104|3359|473|0|0
3.81,64|51|21557|16644|938|723|698|2104|3359|473|0|0
3.91,64|51|21557|16644|938|723|698|2104|3359|473|0|0
4.01,64|51|21557|16644|938|723|698|2104|3359|473|0|0
4.11,64|51|21557|16644|938|723|698|2104|3359|473|0|0
4.21,64|51|21557|16644|938|723|698|2104|3359|473|0|0
4.31,64|51|21557|16644|938|723|698|2104|3359|473|0|0
4.41,64|51|21557|16644|938|723|698|2104|3359|473|0|0
4.52,64|51|21557|16644|938|723|698|2104|3359|473|0|0
4.62,64|51|21557|16644|938|723|698|2104|3359|473|0|0
4.72,66|51|38833|121766|49304|21778|14543|17302|4897|5582|0|0
4.83,66|51|38833|121766|49304|21778|14543|17302|4897|5582|0|0
4.93,66|51|38833|121766|49304|21778|14543|17302|4897|5582|0|0
5.04,66|51|38833|121766|49304|21778|14543|17302|4897|5582|0|0
5.14,66|51|38833|121766|49304|21778|14543|17302|4897|5582|0|0
5.24,66|51|38833|121766|49304|21778|14543|17302|4897|5582|0|0
5.35,66|51|38833|121766|49304|21778|14543|17302|4897|5582|0|0
5.45,66|51|38833|121766|49304|21778|14543|17302|4897|5582|0|0
5.56,66|51|38833|121766|49304|21778|14543|17302|4897|5582|0|0
5.66,54|50|67853|28499|10252|6577|5252|4371|3431|1480|0|0
5.77,54|50|67853|28499|10252|6577|5252|4371|3431|1480|0|0
5.87,54|50|67853|28499|10252|6577|5252|4371|3431|1480|0|0
5.98,54|50|67853|28499|10252|6577|5252|4371|3431|1480|0|0
6.08,54|50|67853|28499|10252|6577|5252|4371|3431|1480|0|0
6.18,54|50|67853|28499|10252|6577|5252|4371|3431|1480|0|0
21.82,70|40|4892|3976|1495|867|2110|1446|4641|668|0|0
21.93,70|40|4892|3976|1495|867|2110|1446|4641|668|0|0
22.03,70|40|4892|3976|1495|867|2110|1446|4641|668|0|0
22.14,70|40|4892|3976|1495|867|2110|1446|4641|668|0|0
22.24,70|40|4892|3976|1495|867|2110|1446|4641|668|0|0
22.35,70|40|4892|3976|1495|867|2110|1446|4641|668|0|0
22.45,70|40|4892|3976|1495|867|2110|1446|4641|668|0|0
22.56,84|30|9894|11911|6254|5647|7227|14840|7977|2186|0|0
22.66,84|30|9894|11911|6254|5647|7227|14840|7977|2186|0|0
22.77,84|30|9894|11911|6254|5647|7227|14840|7977|2186|0|0
22.87,84|30|9894|11911|6254|5647|7227|14840|7977|2186|0|0
22.97,84|30|9894|11911|6254|5647|7227|14840|7977|2186|0|123
23.08,84|30|9894|11911|6254|5647|7227|14840|7977|2186|0|50
23.18,84|30|9894|11911|6254|5647|7227|14840|7977|2186|0|2
23.29,84|30|9894|11911|6254|5647|7227|14840|7977|2186|0|0
23.39,84|30|9894|11911|6254|5647|7227|14840|7977|2186|0|0
23.50,84|30|9894|11911|6254|5647|7227|14840|7977|2186|0|0
23.60,83|54|63296|14162|20059|4985|7435|4134|3376|964|0|0
23.71,83|54|63296|14162|20059|4985|7435|4134|3376|964|0|0
23.81,83|54|63296|14162|20059|4985|7435|4134|3376|964|0|0
23.91,83|54|63296|14162|20059|4985|7435|4134|3376|964|0|0
24.02,83|54|63296|14162|20059|4985|7435|4134|3376|964|0|0
24.12,83|54|63296|14162|20059|4985|7435|4134|3376|964|0|0
24.22,83|54|63296|14162|20059|4985|7435|4134|3376|964|0|0
24.32,83|54|63296|14162|20059|4985|7435|4134|3376|964|0|0
24.42,83|54|63296|14162|20059|4985|7435|4134|3376|964|0|0
24.53,83|54|63296|14162|20059|4985|7435|4134|3376|964|0|0
24.63,67|66|17140|52234|7409|16170|15206|10415|17347|15566|0|0
24.73,67|66|17140|52234|7409|16170|15206|10415|17347|15566|0|0
24.83,67|66|17140|52234|7409|16170|15206|10415|17347|15566|0|0
65.20,37|81|44496|30263|10150|7961|4315|2319|1587|965|0|0
65.31,37|81|44496|30263|10150|7961|4315|2319|1587|965|0|0
65.41,51|83|26791|8428|20345|3389|4088|6432|3537|7689|0|0
65.51,51|83|26791|8428|20345|3389|4088|6432|3537|7689|0|0
65.62,51|83|26791|8428|20345|3389|4088|6432|3537|7689|0|0
65.72,51|83|26791|8428|20345|3389|4088|6432|3537|7689|0|0
65.82,51|83|26791|8428|20345|3389|4088|6432|3537|7689|0|0
65.92,51|83|26791|8428|20345|3389|4088|6432|3537|7689|0|0
66.03,51|83|26791|8428|20345|3389|4088|6432|3537|7689|0|0
66.13,51|83|26791|8428|20345|3389|4088|6432|3537|7689|0|0
66.23,51|83|26791|8428|20345|3389|4088|6432|3537|7689|0|0
66.34,51|83|26791|8428|20345|3389|4088|6432|3537|7689|0|0
66.44,48|80|21449|52666|23823|8386|5677|6435|2767|1953|0|0
66.54,48|80|21449|52666|23823|8386|5677|6435|2767|1953|0|0
66.64,48|80|21449|52666|23823|8386|5677|6435|2767|1953|0|0
66.74,48|80|21449|52666|23823|8386|5677|6435|2767|1953|0|0
66.85,48|80|21449|52666|23823|8386|5677|6435|2767|1953|0|0
66.95,48|80|21449|52666|23823|8386|5677|6435|2767|1953|0|0
67.05,48|80|21449|52666|23823|8386|5677|6435|2767|1953|0|0
67.15,48|80|21449|52666|23823|8386|5677|6435|2767|1953|0|0
67.26,48|80|21449|52666|23823|8386|5677|6435|2767|1953|0|0
67.36,48|80|21449|52666|23823|8386|5677|6435|2767|1953|0|0
67.46,48|81|852140|247834|90353|12343|18997|16608|16391|3080|0|0
67.56,48|81|852140|247834|90353|12343|18997|16608|16391|3080|0|0
67.67,48|81|852140|247834|90353|12343|18997|16608|16391|3080|0|0
67.77,48|81|852140|247834|90353|12343|18997|16608|16391|3080|0|0
67.87,48|81|852140|247834|90353|12343|18997|16608|16391|3080|0|0
67.97,48|81|852140|247834|90353|12343|18997|16608|16391|3080|0|0
68.08,48|81|852140|247834|90353|12343|18997|16608|16391|3080|0|0
68.18,48|81|852140|247834|90353|12343|18997|16608|16391|3080|0|0
77.59,26|21|118073|80590|15359|2752|8849|2514|917|501|0|0
77.70,26|21|118073|80590|15359|2752|8849|2514|917|501|0|0
