15.62,50|83|256279|49370|41035|19121|9950|9039|13531|3172|0|0
15.72,50|83|256279|49370|41035|19121|9950|9039|13531|3172|0|0
15.83,50|83|256279|49370|41035|19121|9950|9039|13531|3172|0|0
15.93,50|83|256279|49370|41035|19121|9950|9039|13531|3172|0|0
16.04,50|83|256279|49370|41035|19121|9950|9039|13531|3172|0|0
16.14,50|83|256279|49370|41035|19121|9950|9039|13531|3172|0|0
16.24,50|83|256279|49370|41035|19121|9950|9039|13531|3172|0|0
16.34,50|83|256279|49370|41035|19121|9950|9039|13531|3172|0|0
16.45,50|83|256279|49370|41035|19121|9950|9039|13531|3172|0|0
16.55,50|83|256279|49370|41035|19121|9950|9039|13531|3172|0|0
16.65,44|90|324451|24603|34614|10032|5229|7610|7609|4717|0|0
16.76,44|90|324451|24603|34614|10032|5229|7610|7609|4717|0|0
16.86,44|90|324451|24603|34614|10032|5229|7610|7609|4717|0|0
16.96,44|90|324451|24603|34614|10032|5229|7610|7609|4717|0|0
17.06,44|90|324451|24603|34614|10032|5229|7610|7609|4717|0|154
17.17,44|90|324451|24603|34614|10032|5229|7610|7609|4717|0|82
17.27,44|90|324451|24603|34614|10032|5229|7610|7609|4717|0|14
17.38,44|90|324451|24603|34614|10032|5229|7610|7609|4717|0|0
17.48,44|90|324451|24603|34614|10032|5229|7610|7609|4717|0|0
17.58,44|90|324451|24603|34614|10032|5229|7610|7609|4717|0|0
17.69,40|77|985894|218635|53052|6379|14465|21111|12905|6302|0|0
17.79,40|77|985894|218635|53052|6379|14465|21111|12905|6302|0|0
17.89,40|77|985894|218635|53052|6379|14465|21111|12905|6302|0|0
17.99,40|77|985894|218635|53052|6379|14465|21111|12905|6302|0|0
18.10,40|77|985894|218635|53052|6379|14465|21111|12905|6302|0|0
18.20,40|77|985894|218635|53052|6379|14465|21111|12905|6302|0|0
18.31,40|77|985894|218635|53052|6379|14465|21111|12905|6302|0|0
18.41,40|77|985894|218635|53052|6379|14465|21111|12905|6302|0|0
18.51,40|77|985894|218635|53052|6379|14465|21111|12905|6302|0|0
18.61,40|84|38809|38420|32040|14516|33551|14120|16541|12305|0|0
34.25,61|44|7591|1656|1934|1455|1125|3365|561|713|0|0
34.35,61|44|7591|1656|1934|1455|1125|3365|561|713|0|0
34.45,61|44|7591|1656|1934|1455|1125|3365|561|713|0|0
34.55,47|23|128002|12013|537|1283|318|992|127|228|0|0
34.65,47|23|128002|12013|537|1283|318|992|127|228|0|0
34.76,47|23|128002|12013|537|1283|318|992|127|228|0|0
34.86,47|23|128002|12013|537|1283|318|992|127|228|0|0
34.96,47|23|128002|12013|537|1283|318|992|127|228|0|0
35.06,47|23|128002|12013|537|1283|318|992|127|228|0|0
35.17,47|23|128002|12013|537|1283|318|992|127|228|0|0
35.27,47|23|128002|12013|537|1283|318|992|127|228|0|0
35.37,47|23|128002|12013|537|1283|318|992|127|228|0|0
35.47,47|23|128002|12013|537|1283|318|992|127|228|0|0
35.57,40|40|390029|21525|17259|5355|5940|1440|1240|917|0|0
35.68,40|40|390029|21525|17259|5355|5940|1440|1240|917|0|0
35.78,40|40|390029|21525|17259|5355|5940|1440|1240|917|0|0
35.88,40|40|390029|21525|17259|5355|5940|1440|1240|917|0|0
35.99,40|40|390029|21525|17259|5355|5940|1440|1240|917|0|0
36.09,40|40|390029|21525|17259|5355|5940|1440|1240|917|0|0
36.20,40|40|390029|21525|17259|5355|5940|1440|1240|917|0|0
36.30,40|40|390029|21525|17259|5355|5940|1440|1240|917|0|0
